video,female,male
Hod_sjo_FM_150_A_02,175.70137558329023,161.72631583971378
Hod_sjo_FM_150_A_05,178.79888366721357,171.34182345183478
Hod_sjo_FM_150_A_06,191.35901621075374,165.2949751608819
Hod_sjo_FM_150_A_07,182.83886963361192,171.98572553979616
Hod_sjo_FM_150_A_03,177.92025904638308,168.40592387897516
Hod_sjo_FM_150_A_08,185.2047699366929,169.32213764724975
Hod_sjo_FM_150_A_09,185.6579220792368,166.45947867632714
Hod_sjo_FM_150_A_10,180.5622933225626,163.01402938976287
Hod_sjo_FM_150_A_14,185.99910647475528,171.6929778849061
Hod_sjo_FM_150_A_15,175.27463778157323,164.1245457314107
